group,item,pn,qty,source,cost,why,rev
Harness,Tesla WPC donor (optional harvest),1877045-00-C,1,eBay / Tesla parts,$80-180,Only if you would rather steal a 6210 header than solder one,all
Harness,Sumitomo 12-way female grey,6098-5718,1,eBay / Nexelec / AliExpress,$8-12,Plugs into the charger 6210. Tesla 1042593-03-A / X0648,all
Harness,Sumitomo 12-way male PCB header,6098-6210,1,Eleocean / auto-electron,$3-8,Vehicle 5718 plugs onto this. DL TH header — solder a pigtail do not expect a wire housing,all
Harness,Female terminal 1.00 mm2,8240-0213,10,Nexelec / AliExpress,$5,TS 1.5mm 0.75-1.25 mm2 tin. Cavities 1 3 9. Not for 16 AWG GXL,all
Harness,Female terminal 0.35 mm2,8240-0215,10,TTI / AliExpress,$5,TS 1.5mm 0.3-0.5 mm2 tin. Cavities 4 10 11 12,all
Harness,18 AWG GXL red+black,GXL-18,3m,Waytek,$10,Power tap into 8240-0213 (16 AWG is out of spec),all
Harness,22 AWG GXL green,GXL-22,1m,Waytek,$6,LIN listen on pin 4 into 8240-0215,all
Harness,Adhesive heat-shrink + cloth tape,3:1 dual-wall,1 kit,Amazon,$14,Tesla DIY insulation spec,all
Board,ESP32-C3 SuperMini,ESP32-C3-FH4,1,LCSC / Amazon,$8,MCU,all
Board,LIN transceiver,TLIN2029A-Q1,1,Mouser,$6,Listen-only PHY,all
Board,7-60 V to 5 V 2 A buck,XL7015 class,1,Amazon,$8,MCU rail — not MP1584,all
Board,Mini blade fuse holder + 3 A,ATC-3,2,Waytek,$8,In and out — stay on harness outside box,all
Board,NTC inrush limiter 10 ohm ≥3 A,B57237S0100M000 / MF72-10D13,1,Digi-Key / Amazon,$2,Tesla digital fuses trip on buck inrush — series on VIN after F1 on the harness not in the sled,all
Board,Gate soft-start 47k + 1uF + 1N4148,47k+1uF+1N4148,1,Digi-Key,$1,80 ms FET ramp so Mini input caps do not dump the pad circuit,all
Board,TVS 58 V,SMBJ58A,1,Digi-Key,$1,VIN clamp,all
Board,Schottky 100 V 5 A,SS510,1,Digi-Key,$1,Reverse protect,all
Board,Barrel 5.5x2.1 center +,DC5521 male,1,Amazon / Starlink DC extension,$9,Confirm polarity on official PSU,all
Board,Divider 100k/10k 1%,0805,1,Digi-Key,$1,VIN sense into ESP32 ADC,all
Board,3.3 V zener + gate R,MMSZ5226B,1,Digi-Key,$2,ADC clamp,all
Board,LEDs amber/green,3mm,2,Digi-Key,$1,Status through lid membranes,all
Direct 48 V,Logic-level N-FET 100 V,FQP13N10L,1,Digi-Key 671-FQP13N10L,$3,Low-side Mini switch — 60 V FET is too close to Tesla 58 V,direct
Direct 48 V,LM393 dual comparator,LM393P,1,Digi-Key,$1,Hardware OVLO open-collector on FET gate,direct
Direct 48 V,TL431 2.495 V ref,TL431ACP,1,Digi-Key,$1,LM393 IN+ reference,direct
Direct 48 V,OVLO divider 215k / 10k 1%,215k+10k,1,Digi-Key,$1,Trip 2.495 × 225/10 = 56.14 V,direct
Buck 36 V,Low-profile 60 V 3 A buck set to 36 V,60Vin 36Vout 3A slim ≤12mm,1,Amazon / LCSC,$12,Must fit 14.6 mm cavity — skip 5 A tower,buck
Buck 36 V,Logic-level N-FET 60 V,FQP30N06L,1,Digi-Key 671-FQP30N06L,$2,Low-side Starlink switch on 36 V — lay TO-220 flat,buck
Buck 36 V,TVS 40 V,SMBJ40A,1,Digi-Key,$1,V36 clamp,buck
Case,Printed under-panel sled PETG,hardware/enclosure/,1,Print the STLs / OpenSCAD,~$2 filament,108x56x18 mm VHB lid,all
Case,M2.5 x 8 mm + heat-set inserts,M2.5,4,Amazon,$4,Lid screws into base bosses,all
Case,3M VHB 5952 12 mm squares,5952,4,Amazon,$8,Lid bed face to panel underside,all
Tools,Torx T20,T20,1,any,$8,5 N·m WPC screws,all
Tools,Plastic pry set,—,1,any,$10,Console panel,all
Tools,DMM 60 V DC,—,1,own,own,Pin ID — LV assumed live,all
Tools,Logic analyzer 24 MHz,Saleae or 8-ch,1,Amazon,$15,Optional LIN capture,all
