Designator,Comment,LCSC,Qty,Note
U1,ESP32-C3-MINI-1-N4,C2919203,1,Espressif module, 4 MB
U2,XL7015E1 SOP-8,C142613,1,5–80 V → 5 V buck, 0.8 A
U3,AMS1117-3.3 SOT-223,C6186,1,5 V → 3.3 V
U4,TLIN2029DRQ1 SOIC-8,C582774,1,LIN PHY, TXD not to MCU
U5,LM393DR SOIC-8,C7950,1,OVLO comparator
U6,TL431 SOT-23,C511218,1,2.495 V ref
Q1,IRLR3110TRPBF DPAK,C152302,1,100 V logic-level, replaces IRL540N TO-220
D1,SS510 SMA,C8678,1,100 V 5 A Schottky
D2,SMBJ58A SMB,C13589,1,58 V TVS
D3,SS14 SOD-123,C227409,1,Buck catch
Dz,MMSZ5226B 3.3 V,C212815,1,ADC clamp
Dusb,1N5819 SOD-123,C212814,1,USB VBUS OR
Drail,0805 amber LED,C72043,1,Rail present
Darm,0805 green LED,C72041,1,Output armed
L1,220 µH 6×6 1 A,C167254,1,XL7015 inductor
C1,10 µF 100 V 1210,C59419,1,VIN bulk
C5v,10 µF 16 V 0805,C45783,1,5 V bulk
C3v,10 µF 10 V 0805,C45783,1,3V3 bulk
Clin,220 pF 50 V 0805,C14663,1,LIN to GND
Cgate,1 µF 25 V 0805,C14663,1,Gate ramp
Cen,1 µF 16 V 0805,C14663,1,EN RC
R215,215 k 1 % 0805,C17521,1,OVLO top
R10ov,10 k 1 % 0805,C17414,1,OVLO bot
R100k,100 k 1 % 0805,C17407,1,ADC top
R10k,10 k 1 % 0805,C17414,1,ADC bot
R1k,1 k 0805,C17513,1,GPIO5 series
R10g,10 k 0805,C17414,1,Gate pulldown
R47k,47 k 0805,C17710,1,Gate ramp
Rfb1,8.2 k 1 % 0805,C17671,1,5 V FB
Rfb2,1.5 k 1 % 0805,C17622,1,5 V FB
Rtx,10 k 0805,C17414,1,TXD high (listen-only)
Ren,10 k 0805,C17414,1,EN pullup
Rboot,10 k 0805,C17414,1,BOOT pullup
Rr,1 k 0805,C17513,1,Amber LED
Ra,1 k 0805,C17513,1,Green LED
Rcc1,5.1 k 0805,C17610,1,USB CC1
Rcc2,5.1 k 0805,C17610,1,USB CC2
Rref,10 k 0805,C17414,1,TL431 bias
J1,3× Ø1.3 mm pad,—,1,VIN / GND / LIN, 18 AWG
J2,PJ-002A 5.5×2.1,C381065,1,Barrel, center +
J3,USB-C 16P mid-mount,C165948,1,Aligns with south window
