Designator,Mid X,Mid Y,Layer,Rotation
J1,5.000,18.000,T,0
J3,75.200,2.000,T,0
J2,97.000,26.400,T,0
D1,18.000,12.000,T,0
D2,18.000,20.500,T,0
C1,18.000,29.000,T,0
U2,34.000,14.000,T,0
L1,34.000,26.500,T,0
Rfb1,40.500,20.000,T,90
Rfb2,43.500,20.000,T,90
C5v,40.500,26.500,T,0
D3,27.500,26.500,T,0
U3,34.000,40.000,T,0
C3v,42.500,40.000,T,0
U4,52.500,40.000,T,0
Rtx,60.000,40.000,T,0
Clin,60.000,44.500,T,0
U5,52.500,24.000,T,0
U6,63.500,18.500,T,0
R215,63.500,24.000,T,90
R10ov,66.500,24.000,T,90
Rref,63.500,13.500,T,0
R100k,63.500,30.500,T,90
R10k,66.500,30.500,T,90
Dz,70.500,30.500,T,0
R1k,78.000,36.000,T,0
R10g,78.000,40.000,T,0
R47k,84.000,36.000,T,0
Cgate,84.000,40.000,T,0
U1,75.000,16.500,T,0
Drail,72.400,38.400,T,0
Darm,80.400,38.400,T,0
Rr,72.400,42.200,T,0
Ra,80.400,42.200,T,0
Ren,68.000,8.500,T,0
Rboot,82.000,8.500,T,0
Cen,68.000,5.800,T,0
Rcc1,70.000,3.200,T,0
Rcc2,80.000,3.200,T,0
Dusb,62.000,8.500,T,0
Q1,90.500,26.400,T,0
